Rank,Name,Net Worth,Source
1909,Kevin Glazer,$1.7 B,"Manchester United, Tampa Bay Buccaneers"
1909,Darcie Glazer Kassewitz,$1.7 B,"Manchester United, Tampa Bay Buccaneers"
1909,Edward Glazer,$1.7 B,"Manchester United, Tampa Bay Buccaneers"
1909,Bryan Glazer,$1.7 B,"Manchester United, Tampa Bay Buccaneers"
1909,Joel Glazer,$1.7 B,"Manchester United, Tampa Bay Buccaneers"
1909,Avram Glazer,$1.7 B,"Manchester United, Tampa Bay Buccaneers"
1909,Joe Rogers Jr,$1.7 B,Waffle House
1909,Vasily Anisimov,$1.7 B,Real estate
1917,Jeffrey Michael & family,$1.7 B,Data management
1918,Louis Le Duff,$1.7 B,Bakeries
1919,Chu Mang Yee & family,$1.7 B,Real estate
1920,Luo Yuhao,$1.7 B,Mobile gaming
1921,Bill Gross,$1.7 B,Investments
1922,Igor Khudokormov,$1.7 B,Agriculture
1923,Ian Wood & family,$1.7 B,Energy services
1924,Gretel Packer,$1.7 B,Investments
1925,Sara George Muthoot,$1.7 B,Financial services
1925,George Jacob Muthoot,$1.7 B,Financial services
1925,George Thomas Muthoot,$1.7 B,Financial services
1925,George Alexander Muthoot,$1.7 B,Financial services
1929,Saket Burman,$1.7 B,Consumer goods
1930,Adebayo Ogunlesi,$1.7 B,Private Equity
1931,Asok Kumar Hiranandani,$1.7 B,Real estate
1932,Arvind Lal,$1.7 B,Medical diagnostics
1933,Harald Link,$1.7 B,Diversified
1934,Jenny Lindén Urnes,$1.7 B,Powdered metal
1935,Aziz Akhannouch & family,$1.7 B,"Petroleum, diversified"
1936,Kenny Troutt,$1.7 B,Telecom
1937,Friederike Braun-Luedicke,$1.7 B,Medical technology
1937,Eva Maria Braun-Luedicke,$1.7 B,Medical technology
1937,Bernhard Braun-Luedicke,$1.7 B,Medical technology
1940,Katharina Andresen,$1.7 B,Investments
1941,Artem Khachatryan,$1.6 B,Retail
1942,William Fisher,$1.6 B,Gap
1943,Aerin Lauder,$1.6 B,Estee Lauder
1944,Mitchell Jacobson,$1.6 B,Industrial equipment
1945,Paul Foster,$1.6 B,Oil refining
1946,Naresh Jain,$1.6 B,Auto components
1947,Jeffrey Gundlach,$1.6 B,Investments
1948,Daniel Hirschfeld,$1.6 B,Fashion retail
1949,Meng Qingshan & family,$1.6 B,Chemicals
1950,Nicholas Pritzker,$1.6 B,"Hotels, investments"
1951,Archie Hwang,$1.6 B,Semiconductors
1952,Shiv Kishan Agrawal,$1.6 B,Snacks
1953,Daniel Chiu,$1.6 B,Oil & gas
1954,Xu Jinfu & family,$1.6 B,Chemicals
1955,Nelson Peltz,$1.6 B,Investments
1956,Wang Wenmo,$1.6 B,Sports apparel
1957,Mike Repole,$1.6 B,Sports drink
1958,Heloise Pratt,$1.6 B,"Manufacturing, investment"
1959,Sue Gross,$1.6 B,Investments
1960,Huang Dawen,$1.6 B,Silicon
1961,Ingrid Wu,$1.6 B,Manufacturing
1962,Alpana Dangi,$1.6 B,Investments
1963,Li Jianquan & family,$1.6 B,Consumer products
1964,Toshio Motoya,$1.6 B,Hotels
1965,Kim Jung-min,$1.6 B,Online gaming
1965,Kim Jung-youn,$1.6 B,Online gaming
1967,Kapil Bhatia,$1.6 B,Aviation
1968,Lai Shixian,$1.6 B,Sports apparel
1969,Evgeny (Eugene) Shvidler,$1.6 B,"Metals, investments"
1970,Shivratan Agarwal,$1.6 B,Indian snacks
1971,Christine Franken & family,$1.6 B,Biopharmaceuticals
1972,Jayme Garfinkel & family,$1.6 B,Insurance
1973,K.C. Liu,$1.6 B,Manufacturing
1974,Lin Fanlian,$1.6 B,"Energy, real estate"
1975,Alexandra Andresen,$1.6 B,Investments
1976,Ana Lucia de Mattos Barretto Villela,$1.6 B,Banking
1977,Lyu Yixiong,$1.6 B,Cosmetics
1978,Guilherme Benchimol,$1.6 B,financial services
1979,C.C. Leung,$1.6 B,Electronics
1980,Timothy Springer,$1.6 B,Biotech
1981,Nerio Alessandri,$1.6 B,Gym equipment
1982,Konstantin Strukov & family,$1.6 B,"Gold, coal mining"
1983,Eduardo Costantini,$1.6 B,Real estate
1984,Dean Solon,$1.6 B,Solar systems
1985,Mahaveer Prasad Taparia,$1.6 B,Plastics
1986,Xiang Guangming & family,$1.6 B,Waste disposal
1987,Lam Kong,$1.6 B,Pharmaceuticals
1988,Cristina Junqueira,$1.6 B,fintech
1989,Hemendra Kothari,$1.6 B,Financial services
1990,Ivan Chrenko,$1.6 B,Real estate
1991,Sidney Kimmel,$1.6 B,Retail
1992,Kwee Liong Phing,$1.6 B,Real estate
1992,Kwee Liong Keng,$1.6 B,Real estate
1992,Kwee Liong Tek,$1.6 B,Real estate
1992,Kwee Liong Seen,$1.6 B,Real estate
1996,Wang Zhenhua,$1.6 B,Real estate
1997,G.V. Prasad,$1.6 B,Pharmaceuticals
1998,Leopoldo Espinosa Abdalá,$1.6 B,Pharmaceutical
1998,Fernando Espinosa Abdalá,$1.6 B,Pharmaceuticals
2000,Nir Zuk,$1.6 B,software
2001,Suh Kyung-bae,$1.6 B,Cosmetics
2002,Stewart Butterfield,$1.6 B,Messaging software
2003,Zhang Ning,$1.6 B,Chemicals
2004,Ben Ashkenazy,$1.6 B,Real estate
2005,Chang Jing,$1.6 B,Technology
2006,Terence (Terry) Matthews,$1.6 B,Telecom
2007,Chen Yung-tai,$1.6 B,Real estate
2008,Jim McKelvey,$1.6 B,Mobile payments
2009,Shivratan Taparia,$1.6 B,Plastics
2010,Farkhad Akhmedov,$1.6 B,Investments
2011,David Hoffmann,$1.6 B,"Executive search, investments"
2012,Sebastian Kulczyk,$1.6 B,Diversified
2013,Li Haiyan,$1.6 B,Restaurants
2014,Paolo Bulgari,$1.6 B,Luxury goods
2015,Liu Gexin & family,$1.6 B,Pharmaceuticals
2016,Leonid Simanovsky,$1.6 B,Investments
2017,Kishin RK,$1.6 B,"Real estate, hotels"
2017,Raj Kumar,$1.6 B,"Real estate, hotels"
2019,Toto Wolff,$1.6 B,Sports
2020,Bharat Desai,$1.6 B,IT consulting
2021,Thomas Bruch,$1.6 B,Retail
2022,Laurie Tisch,$1.6 B,"Loews, New York Giants"
2022,Steven Tisch,$1.6 B,"Loews, New York Giants"
2024,Patricia Angelini Rossi,$1.6 B,"Forestry, mining"
2025,Wang Chou-hsiong,$1.6 B,Footwear
2026,Antonio Percassi,$1.6 B,"Real estate, diversified"
2027,John Van Lieshout,$1.5 B,Real estate
2028,Chi Yufeng,$1.5 B,Software
2029,Angelo Koo,$1.5 B,Finance
2030,Saroj Rani Gupta,$1.5 B,Steel tubes
2031,Ron Sim,$1.5 B,Retail
2032,Thomas von Koch,$1.5 B,Asset management
2033,Ren Jianhua,$1.5 B,Kitchen appliances
2034,Arkady Volozh,$1.5 B,Search engine
2035,Ali Metin Kazanci,$1.5 B,Energy
2036,Ni Zugen,$1.5 B,Appliances
2037,George Marcus,$1.5 B,Real estate
2038,Carlos Sanchez,$1.5 B,Generic drugs
2039,Sasson Dayan & family,$1.5 B,Banking
2040,Antti Aarnio-Wihuri,$1.5 B,Diversified
2041,Sandor Csanyi,$1.5 B,"Finance, real estate"
2042,Robert Mouawad,$1.5 B,Fine jewelry
2043,Albert Nahmad,$1.5 B,Air conditioning parts
2044,Nikil Viswanathan,$1.5 B,Blockchain technology
2044,Joe Lau,$1.5 B,Blockchain technology
2046,Federico De Nora,$1.5 B,Electrodes
2047,Melissa Ma,$1.5 B,Internet search
2048,Bernd Freier,$1.5 B,Fashion retail
2049,Michiel Le Roux,$1.5 B,Banking
2050,Alfred West Jr,$1.5 B,Money management
2051,Itzhak Ezratti & family,$1.5 B,Homebuilding
2052,Sunjay Kapur,$1.5 B,Auto parts
2053,Wu Yulan,$1.5 B,Pharmaceuticals
2054,Liesel Pritzker Simmons,$1.5 B,"Hotels, investments"
2055,Onkar Kanwar,$1.5 B,Tires
2056,Koh Wee Meng,$1.5 B,"Real estate, hotels"
2057,Carsten Maschmeyer,$1.5 B,Finance services
2058,Agustín Coppel Luken,$1.5 B,Diversified
2059,Doris Fisher,$1.5 B,Gap
2060,Ahmet Calik,$1.5 B,"Energy, banking, construction"
2061,Jennifer Steinbrenner Swindal,$1.5 B,Sports
2061,Hal Steinbrenner,$1.5 B,Sports
2061,Jessica Steinbrenner,$1.5 B,Sports
2064,Gerald Schwartz,$1.5 B,Finance
2065,Athanasios Martinos & family,$1.5 B,"Shipping, real estate"
2066,Zhang Xiaojuan,$1.5 B,Logistics
2067,Yi Dasheng,$1.5 B,Conglomerate
2068,Nikolay Fartushnyak,$1.5 B,retail
2069,Carmen Daurella Aguilera,$1.5 B,Coca-Cola bottler
2070,Ben Navarro,$1.5 B,Investments
2071,Raamdeo Agrawal,$1.5 B,Financial services
2072,Masaaki Arai,$1.5 B,Real estate
2073,Patrick Zalupski,$1.5 B,homebuilding
2074,John Armitage,$1.5 B,Hedge funds
2075,Igor Rotenberg,$1.5 B,"Investments, real estate"
2076,Fredrik Österberg,$1.5 B,Gambling products
2077,Annalisa Doris,$1.5 B,Financial services
2078,Massimo Doris,$1.5 B,Financial services
2079,Daniel Dines,$1.5 B,Software
2080,Xu Zhenhua,$1.5 B,Online games
2080,Justin Yuan,$1.5 B,Online games
2082,Barbara Benetton,$1.5 B,"Fashion retail, investments"
2083,Ruan Shuilong & family,$1.5 B,Chemicals
2084,Alan Gerry,$1.5 B,Cable television
2085,David Peñaloza Alanís,$1.5 B,Toll roads
2086,William Heinecke,$1.5 B,Hotels
2087,Wu Zhigang & family,$1.5 B,Bakery chain
2088,Rubens Ometto Silveira Mello,$1.5 B,"Sugar, ethanol"
2089,Motilal Oswal,$1.5 B,Financial services
2090,Eduard Kucera,$1.5 B,Software
2091,Yu Qibing & family,$1.5 B,Glass
2092,Stephen Winn,$1.5 B,Real estate services
2093,Lee Su-jin,$1.5 B,Hospitality
2094,Vladimir Bogdanov,$1.5 B,Oil
2095,Ivan Zhao,$1.5 B,Software
2096,Andrei Krivenko,$1.5 B,Retail
2097,Steven Schuurman,$1.5 B,software
2098,Liu Xiaodong,$1.5 B,Flavorings
2099,Tseng Cheng,$1.5 B,Petrochemicals
2100,Dan Gertler,$1.5 B,Mining
2101,Ke Xiping & family,$1.5 B,Investments
2102,John Bloor,$1.5 B,"Real estate, manufacturing"
2103,Manohar Lal Agarwal,$1.5 B,Snacks
2104,Carmen Thyssen,$1.5 B,"Investments, art"
2105,Peter Jackson,$1.5 B,"Movies, digital effects"
2106,Chris Wallin,$1.5 B,Mining
2107,Christoph Zeller,$1.5 B,Dental materials
2108,Yuri Shefler,$1.5 B,Alcohol
2109,William MacMillan,$1.5 B,Cargill
2109,Martha MacMillan,$1.5 B,Cargill
2109,John MacMillan,$1.5 B,Cargill
2109,Cargill MacMillan III,$1.5 B,Cargill
2113,Stephen Jarislowsky,$1.5 B,Money management
2114,Deng Weiming & family,$1.5 B,Battery components
2115,Lau Cho Kun,$1.5 B,"Palm oil, property"
2116,Alessandro Rosano,$1.5 B,Shoes
2117,Femi Otedola,$1.5 B,Energy and Utilities
2118,Wu Lanlan & family,$1.5 B,Packaging
2119,Chen Qiongxiang,$1.5 B,Batteries
2120,Sze Man Bok,$1.5 B,Hygiene products
2121,Jeff Tangney,$1.5 B,Healthcare IT
2122,Joseph Steinberg,$1.4 B,Investments
2123,Mario Verrocchi,$1.4 B,Pharmacies
2124,Lee Ho-jin,$1.4 B,Diversified
2125,Bernard Lewis & family,$1.4 B,Fashion retailer
2126,Lamar Hunt Jr & family,$1.4 B,Kansas City Chiefs
2126,Sharron Hunt & family,$1.4 B,Kansas City Chiefs
2126,Daniel Hunt & family,$1.4 B,Kansas City Chiefs
2126,Clark Hunt & family,$1.4 B,Kansas City Chiefs
2126,Frank McCourt,$1.4 B,baseball
2131,Baiju Bhatt,$1.4 B,Stock trading app
2132,Roy Mann,$1.4 B,software
2133,Othman Benjelloun & family,$1.4 B,"Banking, insurance"
2134,Swift Xie,$1.4 B,Drones
2135,Tian Ming,$1.4 B,Measuring instruments
2136,Liang Feng,$1.4 B,Manufacturing
2137,Francisco Jose Riberas Mera,$1.4 B,"Steel, autoparts"
2138,Igor Rybakov,$1.4 B,Building materials
2138,Sergei Kolesnikov,$1.4 B,Building materials
2140,Li Min,$1.4 B,Semiconductor
2141,Brandt Louie,$1.4 B,Drugstores
2142,Alexander Sixt,$1.4 B,Car rentals
2142,Konstantin Sixt,$1.4 B,Car rentals
2144,Mori Arkin,$1.4 B,Pharmaceuticals
2145,Yao Kuizhang,$1.4 B,Beverages
2146,Randal J. Kirk,$1.4 B,Pharmaceuticals
2147,Bachtiar Karim,$1.4 B,Palm oil
2148,Bulent Eczacibasi,$1.4 B,"Pharmaceuticals, diversified"
2149,Kenneth Lo,$1.4 B,textiles
2150,Parakramsinh Jadeja,$1.4 B,Manufacturing
2151,Li Wanqiang,$1.4 B,Smartphones
2152,Giammaria Giuliani,$1.4 B,Pharmaceuticals
2153,Lloyd Blankfein,$1.4 B,Banking
2154,Ivan Savvidis & family,$1.4 B,Agribusiness
2155,Peter Kelly,$1.4 B,I.T.
2156,Niranjan Hiranandani,$1.4 B,Real estate
2157,Henry Engelhardt,$1.4 B,Insurance
2158,Jens von Bahr,$1.4 B,Gambling products
2159,Xie Bingkun & family,$1.4 B,Pearlescent pigments
2160,Hong Feng,$1.4 B,Smartphones
2161,Jared Smith,$1.4 B,Cloud computing
2162,Vijay Agarwal,$1.4 B,Construction equipment
2163,Christopher Stolte,$1.4 B,software
2164,Anna Maria Braun,$1.4 B,Medical technology
2164,Karl Friedrich Braun,$1.4 B,Medical technology
2164,Johanna Braun,$1.4 B,Medical technology
2167,Ye Xiaoping,$1.4 B,Pharmaceuticals
2168,Vincent Lo,$1.4 B,Real estate
2169,Jim Koch,$1.4 B,Beer
2170,Chen Zhisong,$1.4 B,Communication equipment
2171,He Zuxun,$1.4 B,Pig breeding
2172,Lina Tombolato,$1.4 B,Financial services
2173,Brett Adcock,$1.4 B,Robots
2174,Romano Minozzi,$1.4 B,"Utilities, diversified"
2175,Binny Bansal,$1.4 B,Flipkart
2176,Noubar Afeyan,$1.4 B,Biotech
2177,Marius Nacht,$1.4 B,Software
2178,Yang Xuegang,$1.4 B,Coking
2179,Li Li,$1.4 B,Healthcare
2180,Maxim Shubarev,$1.4 B,Real Estate
2181,Wu Yingming,$1.4 B,Batteries
2182,Mustafa Hamied,$1.4 B,Pharmaceuticals
2183,M.R. Jaishankar,$1.4 B,Real Estate
2184,Naomi Azrieli,$1.4 B,Real estate
2184,Sharon Azrieli,$1.4 B,Real estate
2184,Danna Azrieli,$1.4 B,Real estate
2187,David McMurtry,$1.4 B,Manufacturing
2188,Liu Weiping,$1.4 B,packaged food
2189,Ayman Hariri,$1.4 B,"Construction, investments"
2189,Ali Ghodsi,$1.4 B,Data analytics
2191,Chen Kaichen,$1.4 B,Household chemicals
2192,Wee Ee Lim,$1.4 B,Banking
2193,Boris Rotenberg,$1.4 B,"Construction, pipes, chemicals"
2194,Igor Yakovlev,$1.4 B,home appliance stores
2195,Wee Ee Chao,$1.4 B,Banking
2196,Rajesh Sharma,$1.4 B,Finance
2197,Gordon Wu,$1.4 B,Real estate
2198,Wan Long,$1.4 B,Food
2199,Zhang Liguo,$1.4 B,skincare
2200,Ziv Aviram,$1.4 B,Automotive technology
2201,Li Jiaquan,$1.4 B,Chemicals
2202,John Krystynak,$1.4 B,mobile games
2203,Juan Maria Riberas Mera,$1.4 B,"Steel, investments"
2204,Art Levinson,$1.4 B,"Genentech, Apple"
2205,Mario Moretti Polegato & family,$1.4 B,Shoes
2206,Brad Keywell,$1.4 B,"Software, investments"
2207,Vlad Tenev,$1.4 B,Stock trading app
2208,Soegiarto Adikoesoemo,$1.4 B,Chemicals
2209,Yuan Zhongxue,$1.4 B,Tires
2210,Mark Pincus,$1.4 B,Online games
2211,Sytse 'Sid' Sijbrandij,$1.4 B,Software
2212,Fang Hongbo,$1.4 B,Home appliances
2213,Weili Dai,$1.4 B,Semiconductors
2214,Horst Wortmann & family,$1.4 B,Footwear
2215,Nie Tengyun & family,$1.4 B,Logistics
2216,Li Sze Lim,$1.4 B,Real estate
2217,David Feffer,$1.4 B,Pulp and paper
2218,Shirley Kao,$1.4 B,Food & beverage retailing
2219,Diego Della Valle,$1.4 B,Shoes
2220,Ludwig Theodor Braun,$1.4 B,Medical technology
2221,Gu Wei,$1.4 B,Consumer electronics
2222,Rihanna,$1.4 B,"Music, cosmetics"
2223,Lai Jianfa,$1.4 B,Express delivery
2224,Krit Ratanarak,$1.4 B,"Media, real estate"
2225,Ashok Kajaria,$1.4 B,Tiles
2226,Alberto Cortina,$1.4 B,Investments
2227,Premchand Godha,$1.4 B,Pharmaceuticals
2228,Kwek Leng Keow,$1.4 B,Diversified
2229,Li Liangbin,$1.4 B,Lithium
2230,Kwek Leng Peck,$1.4 B,Diversified
2231,Frederic Luddy,$1.4 B,Software
2232,Tyler Perry,$1.4 B,"Movies, television"
2233,Sergey Shnayder & family,$1.4 B,Retail
2234,Chad Richison,$1.4 B,Payroll processing
2235,Yusaku Maezawa,$1.4 B,Online retail
2236,Paul Novelly & family,$1.4 B,Oil
2237,Qin Long,$1.4 B,Tire
2238,Lei Jufang,$1.4 B,Pharmaceuticals
2239,Robert Langer,$1.4 B,Biotech
2240,Rajju Shroff,$1.4 B,Agrochemicals
2241,Tope Awotona,$1.4 B,Software
2242,Darwin Deason,$1.3 B,Software
2243,Naresh Trehan,$1.3 B,Hospitals
2244,Ilona Herlin,$1.3 B,"Elevators, escalators"
2245,Yu Peidi,$1.3 B,Real estate
2246,Zhang Gongyun,$1.3 B,Tyre manufacturing machinery
2247,Adrian Paval,$1.3 B,Retail
2248,Michael Tojner,$1.3 B,"Batteries, investments"
2249,Frank Holding,$1.3 B,Banking
2250,Hui Lin Chit,$1.3 B,Hygiene products
2251,Vadim Yakunin,$1.3 B,Pharmacy
2252,Michael Steinhardt,$1.3 B,Hedge funds
2253,Harvey Jones,$1.3 B,Nvidia
2254,Pan Dong,$1.3 B,Consumer goods
2255,Petter Stordalen & family,$1.3 B,Hotels
2256,Michel Litvak,$1.3 B,Seaport
2257,Zhou Zongwen & family,$1.3 B,Jewelry
2258,Zhu Zhaojiang,$1.3 B,Smartphones
2259,Lim Chai Hock,$1.3 B,Coal
2260,Qin Hua,$1.3 B,Pet Food
2261,Li Weiguo,$1.3 B,Construction materials
2262,Mariana Voigt Schwartz Gomes,$1.3 B,Industrial Machinery
2262,Eduardo Voigt Schwartz,$1.3 B,Industrial Machinery
2264,Su Qingcan,$1.3 B,Healthcare
2265,Shashishekar Pandit,$1.3 B,Software
2266,Manuel Lao Hernández & family,$1.3 B,Casinos
2267,Huang Xiaofen & family,$1.3 B,Printed circuit boards
2268,Kiki Barki,$1.3 B,Coal
2269,Liu Fangyi,$1.3 B,Medical equipment
2270,Ilkka Herlin,$1.3 B,"Elevators, escalators"
2271,Yoshiaki Yoshida,$1.3 B,Cosmetics
2272,Jose Maria Aristrain,$1.3 B,Steel
2273,Min-Liang Tan,$1.3 B,gaming
2274,Christoffel Wiese,$1.3 B,retail
2275,Ben Francis,$1.3 B,Fitness clothing
2276,Hartley Rogers,$1.3 B,asset management
2277,Jin Lei & family,$1.3 B,Medical equipment
2278,Richard Kayne,$1.3 B,Investments
2279,Daniel Feffer,$1.3 B,Pulp and paper
2280,Neide Helena de Moraes,$1.3 B,Diversified
2280,Jose Ermirio de Moraes Neto,$1.3 B,Diversified
2280,Jose Roberto Ermirio de Moraes,$1.3 B,Diversified
2283,John Phillips,$1.3 B,investments
2283,Catherine Phillips,$1.3 B,investments
2285,Vitaly Orlov,$1.3 B,Fisheries
2286,Xu Chuanhua & family,$1.3 B,"Chemicals, logistics"
2287,Zhou Liangzhang & family,$1.3 B,electrical equipment
2288,Lillian Teh Li Ming,$1.3 B,Banking
2288,William Teh Lee Pang,$1.3 B,Banking
2288,Lillyn Teh Li Hua,$1.3 B,Finance
2288,Diona Teh Li Shian,$1.3 B,Banking
2292,Tony Chen,$1.3 B,Electronics
2293,Ulrich Mommert & family,$1.3 B,Lighting
2294,Huang Shan,$1.3 B,Software
2295,Tiger Woods,$1.3 B,Golf
2296,Paul Fireman,$1.3 B,Reebok
2297,Seth Klarman,$1.3 B,Investments
2298,Angela Bennett,$1.3 B,Mining
2299,James Tisch,$1.3 B,Loews
2300,Huang Jiangji,$1.3 B,smartphones
2301,Elena Baturina,$1.3 B,"Investments, real estate"
2302,Shay Banon,$1.3 B,search engine
2303,Qu Miranda,$1.3 B,E-commerce
2303,Charlwin Mao,$1.3 B,E-commerce
2305,Zhang Wenzhong,$1.3 B,Supermarkets
2306,Ruben Feffer,$1.3 B,Pulp and paper
2307,Denis Shtengelov,$1.3 B,"Food, retail"
2308,Yuri Karptsov,$1.3 B,Retail
2309,Cheng Zhenghui,$1.3 B,medical equipment
2310,He Xiaopeng,$1.3 B,Electric vehicles
2311,Jahm Najafi,$1.3 B,Investments
2312,Taylor Swift,$1.3 B,Music
2313,Karl Knauf,$1.3 B,Building materials
2313,Christine Knauf,$1.3 B,Building materials
2315,Joel Greenberg,$1.3 B,"Trading, investments"
2316,Martin Moller Nielsen,$1.3 B,Aircraft leasing
2317,Alexander Mikhalskiy,$1.3 B,retail
2318,Michael Spencer,$1.3 B,Stock exchange
2319,Sehat Sutardja,$1.3 B,Semiconductors
2320,Michael Krasny,$1.3 B,Retail
2321,Su Suyu & family,$1.3 B,"Utilities, real estate"
2322,Réal Plourde,$1.3 B,Convenience stores
2323,Shao Genhuo,$1.3 B,Agribusiness
2324,Dmitry Alexeyev,$1.3 B,Retail
2325,Christopher Kwok,$1.3 B,Real estate
2326,Youssef Mansour,$1.3 B,Diversified
2327,Lin Dingqiang & family,$1.3 B,Real estate
2328,Yu Lili,$1.3 B,Electronic components
2329,Luo Yangyong & family,$1.3 B,Mining
2330,Peng Zhao,$1.3 B,Online recruitment
2331,Ed Craven,$1.3 B,
2332,Edward Kwok,$1.3 B,Real estate
2333,Jorge Feffer & family,$1.3 B,pulp and paper
2334,Syed Mokhtar AlBukhary,$1.3 B,"Engineering, automotive"
2335,Jeffrey Lorberbaum,$1.3 B,Flooring
2336,Lin Chang Su-O,$1.3 B,Real estate
2337,Eugene Wu,$1.3 B,Finance
2338,Hisako Yamamoto,$1.3 B,Retail
2338,Junro Ito,$1.3 B,Retail
2338,Yasuhisa Ito,$1.3 B,Retail
2341,Thomas Bailey,$1.3 B,Money management
2342,Richard Saghian,$1.3 B,Fast fashion
2343,Xie Juhua & family,$1.3 B,Pharmaceuticals
2344,Gary Friedman,$1.3 B,Furniture retail
2345,Myron Wentz,$1.3 B,Health products
2346,Sam Tarascio,$1.3 B,Real estate
2347,Huang Chulong,$1.3 B,Real estate
2348,Mochtar Riady & family,$1.3 B,diversified
2349,Xue Xiangdong & family,$1.3 B,Software
2350,Li Xuhui,$1.3 B,Soy sauce
2351,Gabriel Escarrer & family,$1.3 B,Hotels
2352,Wu Chung-yi,$1.3 B,Manufacturing
2353,Allan Wong,$1.3 B,Electronics
2354,Josef Boquoi & family,$1.3 B,Frozen foods
2355,Andrei Molchanov,$1.3 B,Construction materials
2356,Mehmet Aydinlar,$1.3 B,Hospitals
2357,Virendra Mhaiskar,$1.3 B,Infrastructure
2358,Eleonora Berlusconi,$1.3 B,Media
2359,Barbara Berlusconi,$1.3 B,Media
2359,Luigi Berlusconi,$1.3 B,Media
2361,Gan Zhongru,$1.3 B,Pharmaceuticals
2362,Nobutada Saji,$1.3 B,Beverages
2363,Nobutoshi Shimamura,$1.3 B,Retail
2364,Markus Persson,$1.3 B,Computer games
2365,Wu Xushun & family,$1.3 B,Internet
2366,Lin Lairong & family,$1.3 B,Iron ore mining
2367,Mustafa Latif Topbas,$1.3 B,"food, retail"
2368,Lai Jianping,$1.3 B,Soy sauce
2369,Bijan Tehrani,$1.3 B,
2370,Bruce Mathieson,$1.3 B,Hotels
2371,Zsolt Felcsuti,$1.3 B,Manufacturing
2372,Alberto Alcocer,$1.3 B,Investments
2373,Christian Chabot,$1.3 B,Software
2374,Sara Blakely,$1.3 B,Spanx
2375,Nigel Austin,$1.3 B,Retail
2376,Alexander Mamut & family,$1.3 B,Investments
2377,Gary Magness,$1.3 B,"Cable TV, investments"
2378,Zhuo Jun,$1.3 B,Printed circuit boards
2379,Pradip Burman,$1.3 B,Consumer goods
2380,Mohammed Ibrahim,$1.3 B,Communications
2381,Fumio Kaneko,$1.3 B,Waste management
2382,Drorit Wertheim,$1.3 B,Coca Cola Israel
2383,James Jannard,$1.3 B,Sunglasses
2384,Kirill Minovalov,$1.2 B,"Agriculture, finance"
2385,Roman Avdeev,$1.2 B,"Banking, development"
2386,Polys Haji-Ioannou,$1.2 B,EasyJet
2387,Nancy Lerner,$1.2 B,"Banking, credit cards"
2388,Bahari Karim,$1.2 B,Palm oil
2388,Burhan Karim,$1.2 B,Palm oil
2390,Hisao Nagata,$1.2 B,Retail
2391,Anil Agarwal & family,$1.2 B,"mining, metals"
2392,Richard Desmond,$1.2 B,Publishing
2393,Tran Ba Duong & family,$1.2 B,Automotive
2394,Jin Lei,$1.2 B,Pharmaceuticals
2395,Gao Xingjiang,$1.2 B,Steel
2396,Joop van den Ende,$1.2 B,TV shows
2397,Artur Grynbaum,$1.2 B,Cosmetics
2398,Guy Laliberté,$1.2 B,Cirque du Soleil
2399,Faruk Eczacibasi,$1.2 B,"Pharmaceuticals, diversified"
2400,Randolph Lerner,$1.2 B,"Banking, credit cards"
2401,Johan Johannson,$1.2 B,Grocery stores
2402,Norma Lerner,$1.2 B,Banking
2403,Chaitanya Desai,$1.2 B,Manufacturing
2403,Kushal Desai,$1.2 B,Electrical cables
2405,Zhang Shilong & family,$1.2 B,Semiconductor
2406,Vladimir Krupchak,$1.2 B,Manufacturing
2407,Vicente Boluda Fos,$1.2 B,Shipping
2408,Sachin Bansal,$1.2 B,Flipkart
2409,Michael Lee-Chin,$1.2 B,Mutual funds
2410,Carson Brice,$1.2 B,Banking
2411,Ramachandra Galla,$1.2 B,Batteries
2412,Arsen Kanokov,$1.2 B,Real estate
2413,Jeffrey Soffer,$1.2 B,Real estate
2414,Deniz Sahenk,$1.2 B,Diversified
2415,Sanjay Agarwal,$1.2 B,Banking
2416,Vadim Novinsky,$1.2 B,Steel
2417,Wei Huang,$1.2 B,Real estate
2418,Ronald Clarke,$1.2 B,payments technology
2419,Donald Friese,$1.2 B,Manufacturing
2420,Lee Hae-jin,$1.2 B,Internet
2421,Aydin Dogan,$1.2 B,Media
2422,Antonio Gracias,$1.2 B,Investments
2423,Gary Tharaldson,$1.2 B,Hotels
2424,Zhang Yin,$1.2 B,Paper manufacturing
2425,Tan Yu Yeh,$1.2 B,Retail
2426,Selçuk Bayraktar,$1.2 B,Military drones
2427,Pavel Golubkov,$1.2 B,"Building, development"
2428,Timothy Headington,$1.2 B,"Oil & gas, investments"
2429,Philip Green,$1.2 B,Fashion retail
2429,Cristina Green,$1.2 B,Fashion retail
2431,Oleg Boyko,$1.2 B,Diversified
2432,Christian Louboutin,$1.2 B,Shoes
2433,Forrest Preston,$1.2 B,Health care
2434,Ashwin Desai,$1.2 B,Specialty chemicals
2435,J. Wayne Weaver,$1.2 B,Shoes
2436,Helena Revoredo,$1.2 B,Security services
2437,Chung Yong-jin,$1.2 B,Retail
2438,Bastian Nominacher,$1.2 B,Enterprise software
2439,Pan Shiyi,$1.2 B,Real estate
2440,Francesco Saputo,$1.2 B,Cheese
2441,Zachary Stern,$1.2 B,Liquor
2442,Diamantis Diamantides & family,$1.2 B,Shipping
2443,Ion Stoica,$1.2 B,Data analytics
2443,Matei Zaharia,$1.2 B,Data analytics
